C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
C024,R214,00-00-00,77 ST,R,BMT,12/28/19,3:00:00,REGULAR,8805142,1994345
C024,R214,00-00-00,77 ST,R,BMT,12/28/19,7:00:00,REGULAR,8805197,1994349
C024,R214,00-00-00,77 ST,R,BMT,12/28/19,11:00:00,REGULAR,8805433,1994375
C024,R214,00-00-00,77 ST,R,BMT,12/28/19,15:00:00,REGULAR,8805746,1994409
C024,R214,00-00-00,77 ST,R,BMT,12/28/19,19:00:00,REGULAR,8806002,1994475
C024,R214,00-00-00,77 ST,R,BMT,12/28/19,23:00:00,REGULAR,8806139,1994519
C024,R214,00-00-00,77 ST,R,BMT,12/29/19,3:00:00,REGULAR,8806157,1994541
C024,R214,00-00-00,77 ST,R,BMT,12/29/19,7:00:00,REGULAR,8806199,1994545
C024,R214,00-00-00,77 ST,R,BMT,12/29/19,11:00:00,REGULAR,8806390,1994568
C024,R214,00-00-00,77 ST,R,BMT,12/29/19,15:00:00,REGULAR,8806642,1994597
C024,R214,00-00-00,77 ST,R,BMT,12/29/19,19:00:00,REGULAR,8806814,1994675
C024,R214,00-00-00,77 ST,R,BMT,12/29/19,23:00:00,REGULAR,8806884,1994720
C024,R214,00-00-00,77 ST,R,BMT,12/30/19,3:00:00,REGULAR,8806906,1994732
C024,R214,00-00-00,77 ST,R,BMT,12/30/19,7:00:00,REGULAR,8807075,1994737
C024,R214,00-00-00,77 ST,R,BMT,12/30/19,11:00:00,REGULAR,8807714,1994778
C024,R214,00-00-00,77 ST,R,BMT,12/30/19,15:00:00,REGULAR,8808024,1994848
C024,R214,00-00-00,77 ST,R,BMT,12/30/19,19:00:00,REGULAR,8808267,1994988
C024,R214,00-00-00,77 ST,R,BMT,12/30/19,23:00:00,REGULAR,8808364,1995050
C024,R214,00-00-00,77 ST,R,BMT,12/31/19,3:00:00,REGULAR,8808376,1995064
C024,R214,00-00-00,77 ST,R,BMT,12/31/19,7:00:00,REGULAR,8808536,1995074
C024,R214,00-00-00,77 ST,R,BMT,12/31/19,11:00:00,REGULAR,8809044,1995105
C024,R214,00-00-00,77 ST,R,BMT,12/31/19,15:00:00,REGULAR,8809359,1995170
C024,R214,00-00-00,77 ST,R,BMT,12/31/19,19:00:00,REGULAR,8809608,1995265
C024,R214,00-00-00,77 ST,R,BMT,12/31/19,23:00:00,REGULAR,8809783,1995314
C024,R214,00-00-00,77 ST,R,BMT,1/1/20,3:00:00,REGULAR,8809821,1995342
C024,R214,00-00-00,77 ST,R,BMT,1/1/20,7:00:00,REGULAR,8809853,1995360
C024,R214,00-00-00,77 ST,R,BMT,1/1/20,11:00:00,REGULAR,8809957,1995380
C024,R214,00-00-00,77 ST,R,BMT,1/1/20,15:00:00,REGULAR,8810120,1995399
C024,R214,00-00-00,77 ST,R,BMT,1/1/20,19:00:00,REGULAR,8810257,1995453
C024,R214,00-00-00,77 ST,R,BMT,1/1/20,23:00:00,REGULAR,8810336,1995485
C024,R214,00-00-00,77 ST,R,BMT,1/2/20,3:00:00,REGULAR,8810346,1995491
C024,R214,00-00-00,77 ST,R,BMT,1/2/20,7:00:00,REGULAR,8810561,1995499
C024,R214,00-00-00,77 ST,R,BMT,1/2/20,11:00:00,REGULAR,8811338,1995541
C024,R214,00-00-00,77 ST,R,BMT,1/2/20,15:00:00,REGULAR,8811640,1995602
C024,R214,00-00-00,77 ST,R,BMT,1/2/20,19:00:00,REGULAR,8811962,1995764
C024,R214,00-00-00,77 ST,R,BMT,1/2/20,23:00:00,REGULAR,8812062,1995845
C024,R214,00-00-00,77 ST,R,BMT,1/3/20,3:00:00,REGULAR,8812075,1995860
C024,R214,00-00-00,77 ST,R,BMT,1/3/20,7:00:00,REGULAR,8812301,1995874
C024,R214,00-00-00,77 ST,R,BMT,1/3/20,11:00:00,REGULAR,8813060,1995919
C024,R214,00-00-00,77 ST,R,BMT,1/3/20,15:00:00,REGULAR,8813340,1995970
C024,R214,00-00-00,77 ST,R,BMT,1/3/20,19:00:00,REGULAR,8813652,1996134
C024,R214,00-00-00,77 ST,R,BMT,1/3/20,23:00:00,REGULAR,8813761,1996215
C024,R214,00-00-01,77 ST,R,BMT,12/28/19,3:00:00,REGULAR,7069380,2779132
C024,R214,00-00-01,77 ST,R,BMT,12/28/19,7:00:00,REGULAR,7069407,2779135
C024,R214,00-00-01,77 ST,R,BMT,12/28/19,11:00:00,REGULAR,7069523,2779154
C024,R214,00-00-01,77 ST,R,BMT,12/28/19,15:00:00,REGULAR,7069708,2779187
C024,R214,00-00-01,77 ST,R,BMT,12/28/19,19:00:00,REGULAR,7069864,2779280
C024,R214,00-00-01,77 ST,R,BMT,12/28/19,23:00:00,REGULAR,7069956,2779323
C024,R214,00-00-01,77 ST,R,BMT,12/29/19,3:00:00,REGULAR,7069973,2779337
C024,R214,00-00-01,77 ST,R,BMT,12/29/19,7:00:00,REGULAR,7069986,2779344
C024,R214,00-00-01,77 ST,R,BMT,12/29/19,11:00:00,REGULAR,7070101,2779359
C024,R214,00-00-01,77 ST,R,BMT,12/29/19,15:00:00,REGULAR,7070246,2779375
C024,R214,00-00-01,77 ST,R,BMT,12/29/19,19:00:00,REGULAR,7070360,2779445
C024,R214,00-00-01,77 ST,R,BMT,12/29/19,23:00:00,REGULAR,7070431,2779486
C024,R214,00-00-01,77 ST,R,BMT,12/30/19,3:00:00,REGULAR,7070438,2779499
C024,R214,00-00-01,77 ST,R,BMT,12/30/19,7:00:00,REGULAR,7070521,2779503
C024,R214,00-00-01,77 ST,R,BMT,12/30/19,11:00:00,REGULAR,7070883,2779535
C024,R214,00-00-01,77 ST,R,BMT,12/30/19,15:00:00,REGULAR,7071072,2779584
C024,R214,00-00-01,77 ST,R,BMT,12/30/19,19:00:00,REGULAR,7071236,2779723
C024,R214,00-00-01,77 ST,R,BMT,12/30/19,23:00:00,REGULAR,7071299,2779777
C024,R214,00-00-01,77 ST,R,BMT,12/31/19,3:00:00,REGULAR,7071313,2779793
C024,R214,00-00-01,77 ST,R,BMT,12/31/19,7:00:00,REGULAR,7071384,2779799
C024,R214,00-00-01,77 ST,R,BMT,12/31/19,11:00:00,REGULAR,7071675,2779823
C024,R214,00-00-01,77 ST,R,BMT,12/31/19,15:00:00,REGULAR,7071855,2779879
C024,R214,00-00-01,77 ST,R,BMT,12/31/19,19:00:00,REGULAR,7072022,2779992
C024,R214,00-00-01,77 ST,R,BMT,12/31/19,23:00:00,REGULAR,7072172,2780033
C024,R214,00-00-01,77 ST,R,BMT,1/1/20,3:00:00,REGULAR,7072197,2780057
C024,R214,00-00-01,77 ST,R,BMT,1/1/20,7:00:00,REGULAR,7072213,2780069
C024,R214,00-00-01,77 ST,R,BMT,1/1/20,11:00:00,REGULAR,7072276,2780084
C024,R214,00-00-01,77 ST,R,BMT,1/1/20,15:00:00,REGULAR,7072386,2780106
C024,R214,00-00-01,77 ST,R,BMT,1/1/20,19:00:00,REGULAR,7072474,2780156
C024,R214,00-00-01,77 ST,R,BMT,1/1/20,23:00:00,REGULAR,7072530,2780185
C024,R214,00-00-01,77 ST,R,BMT,1/2/20,3:00:00,REGULAR,7072537,2780190
C024,R214,00-00-01,77 ST,R,BMT,1/2/20,7:00:00,REGULAR,7072647,2780194
C024,R214,00-00-01,77 ST,R,BMT,1/2/20,11:00:00,REGULAR,7073219,2780224
C024,R214,00-00-01,77 ST,R,BMT,1/2/20,15:00:00,REGULAR,7073409,2780271
C024,R214,00-00-01,77 ST,R,BMT,1/2/20,19:00:00,REGULAR,7073570,2780467
C024,R214,00-00-01,77 ST,R,BMT,1/2/20,23:00:00,REGULAR,7073638,2780535
C024,R214,00-00-01,77 ST,R,BMT,1/3/20,3:00:00,REGULAR,7073645,2780552
C024,R214,00-00-01,77 ST,R,BMT,1/3/20,7:00:00,REGULAR,7073751,2780558
C024,R214,00-00-01,77 ST,R,BMT,1/3/20,11:00:00,REGULAR,7074318,2780589
C024,R214,00-00-01,77 ST,R,BMT,1/3/20,15:00:00,REGULAR,7074476,2780645
C024,R214,00-00-01,77 ST,R,BMT,1/3/20,19:00:00,REGULAR,7074642,2780806
C024,R214,00-00-01,77 ST,R,BMT,1/3/20,23:00:00,REGULAR,7074706,2780878
C024,R214,00-00-02,77 ST,R,BMT,12/28/19,3:00:00,REGULAR,6158131,4136720
C024,R214,00-00-02,77 ST,R,BMT,12/28/19,7:00:00,REGULAR,6158155,4136726
C024,R214,00-00-02,77 ST,R,BMT,12/28/19,11:00:00,REGULAR,6158257,4136756
C024,R214,00-00-02,77 ST,R,BMT,12/28/19,15:00:00,REGULAR,6158405,4136798
C024,R214,00-00-02,77 ST,R,BMT,12/28/19,19:00:00,REGULAR,6158540,4136921
C024,R214,00-00-02,77 ST,R,BMT,12/28/19,23:00:00,REGULAR,6158628,4136978
C024,R214,00-00-02,77 ST,R,BMT,12/29/19,3:00:00,REGULAR,6158638,4137000
C024,R214,00-00-02,77 ST,R,BMT,12/29/19,7:00:00,REGULAR,6158657,4137012
C024,R214,00-00-02,77 ST,R,BMT,12/29/19,11:00:00,REGULAR,6158736,4137024
C024,R214,00-00-02,77 ST,R,BMT,12/29/19,15:00:00,REGULAR,6158872,4137078
C024,R214,00-00-02,77 ST,R,BMT,12/29/19,19:00:00,REGULAR,6158977,4137174
C024,R214,00-00-02,77 ST,R,BMT,12/29/19,23:00:00,REGULAR,6159022,4137225
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,3:00:00,REGULAR,6159030,4137237
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,7:00:00,REGULAR,6159103,4137246
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,11:00:00,REGULAR,6159408,4137302
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,15:00:00,REGULAR,6159580,4137375
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,19:00:00,REGULAR,6159726,4137541
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,23:00:00,REGULAR,6159775,4137601
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,3:00:00,REGULAR,6159782,4137618
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,7:00:00,REGULAR,6159834,4137625
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,11:00:00,REGULAR,6160051,4137674
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,15:00:00,REGULAR,6160200,4137739
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,19:00:00,REGULAR,6160343,4137873
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,23:00:00,REGULAR,6160444,4137925
C024,R214,00-00-02,77 ST,R,BMT,1/1/20,3:00:00,REGULAR,6160472,4137964
