C/A,Unit,SCP,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
C024,R214,00-00-00,R,BMT,12/30/2022,03:00:00,REGULAR,9624875,2194658
C024,R214,00-00-00,R,BMT,12/30/2022,07:00:00,REGULAR,9624958,2194664
C024,R214,00-00-00,R,BMT,12/30/2022,11:00:00,REGULAR,9625205,2194688
C024,R214,00-00-00,R,BMT,12/30/2022,15:00:00,REGULAR,9625376,2194727
C024,R214,00-00-00,R,BMT,12/30/2022,19:00:00,REGULAR,9625545,2194814
C024,R214,00-00-00,R,BMT,12/30/2022,23:00:00,REGULAR,9625608,2194867
C024,R214,00-00-01,R,BMT,12/30/2022,03:00:00,REGULAR,7479244,2951129
C024,R214,00-00-01,R,BMT,12/30/2022,07:00:00,REGULAR,7479289,2951133
C024,R214,00-00-01,R,BMT,12/30/2022,11:00:00,REGULAR,7479401,2951154
C024,R214,00-00-01,R,BMT,12/30/2022,15:00:00,REGULAR,7479500,2951198
C024,R214,00-00-01,R,BMT,12/30/2022,19:00:00,REGULAR,7479587,2951295
C024,R214,00-00-01,R,BMT,12/30/2022,23:00:00,REGULAR,7479618,2951351
C024,R214,00-00-02,R,BMT,12/30/2022,03:00:00,REGULAR,6459940,4371834
C024,R214,00-00-02,R,BMT,12/30/2022,07:00:00,REGULAR,6459969,4371842
C024,R214,00-00-02,R,BMT,12/30/2022,11:00:00,REGULAR,6460060,4371882
C024,R214,00-00-02,R,BMT,12/30/2022,15:00:00,REGULAR,6460118,4371922
C024,R214,00-00-02,R,BMT,12/30/2022,19:00:00,REGULAR,6460204,4372050
C024,R214,00-00-02,R,BMT,12/30/2022,23:00:00,REGULAR,6460245,4372129
C024,R214,00-00-03,R,BMT,12/30/2022,03:00:00,REGULAR,10635577,9865839
C024,R214,00-00-03,R,BMT,12/30/2022,07:00:00,REGULAR,10635638,9865852
C024,R214,00-00-03,R,BMT,12/30/2022,11:00:00,REGULAR,10635822,9865943
C024,R214,00-00-03,R,BMT,12/30/2022,15:00:00,REGULAR,10635999,9866044
C024,R214,00-00-03,R,BMT,12/30/2022,19:00:00,REGULAR,10636121,9866290
C024,R214,00-00-03,R,BMT,12/30/2022,23:00:00,REGULAR,10636179,9866450
R247,R178,01-00-00,6,IRT,12/30/2022,00:00:00,REGULAR,1139687,1502068
R247,R178,01-00-00,6,IRT,12/30/2022,04:00:00,REGULAR,1139701,1502115
R247,R178,01-00-00,6,IRT,12/30/2022,08:00:00,REGULAR,1139712,1502375
R247,R178,01-00-00,6,IRT,12/30/2022,12:00:00,REGULAR,1139766,1503293
R247,R178,01-00-00,6,IRT,12/30/2022,16:00:00,REGULAR,1139852,1504232
R247,R178,01-00-00,6,IRT,12/30/2022,20:00:00,REGULAR,1139951,1504706
R247,R178,01-00-01,6,IRT,12/30/2022,00:00:00,REGULAR,7894679,27894789
R247,R178,01-00-01,6,IRT,12/30/2022,04:00:00,REGULAR,7894688,27894812
R247,R178,01-00-01,6,IRT,12/30/2022,08:00:00,REGULAR,7894707,27895004
R247,R178,01-00-01,6,IRT,12/30/2022,12:00:00,REGULAR,7894755,27895595
R247,R178,01-00-01,6,IRT,12/30/2022,16:00:00,REGULAR,7894861,27896136
R247,R178,01-00-01,6,IRT,12/30/2022,20:00:00,REGULAR,7895022,27896656
R247,R178,01-00-02,6,IRT,12/30/2022,00:00:00,REGULAR,1514690,3032869
R247,R178,01-00-02,6,IRT,12/30/2022,04:00:00,REGULAR,1514699,3032877
R247,R178,01-00-02,6,IRT,12/30/2022,08:00:00,REGULAR,1514713,3032989
R247,R178,01-00-02,6,IRT,12/30/2022,12:00:00,REGULAR,1514748,3033322
R247,R178,01-00-02,6,IRT,12/30/2022,16:00:00,REGULAR,1514851,3033620
R247,R178,01-00-02,6,IRT,12/30/2022,20:00:00,REGULAR,1514978,3033967
R247,R178,01-00-03,6,IRT,12/30/2022,00:00:00,REGULAR,1082087,2877813
R247,R178,01-00-03,6,IRT,12/30/2022,04:00:00,REGULAR,1082091,2877820
R247,R178,01-00-03,6,IRT,12/30/2022,08:00:00,REGULAR,1082099,2877940
R247,R178,01-00-03,6,IRT,12/30/2022,12:00:00,REGULAR,1082119,2878200
R247,R178,01-00-03,6,IRT,12/30/2022,16:00:00,REGULAR,1082202,2878404
R247,R178,01-00-03,6,IRT,12/30/2022,20:00:00,REGULAR,1082311,2878562
R247,R178,01-03-00,6,IRT,12/30/2022,00:00:00,REGULAR,860937,3837604
R247,R178,01-03-00,6,IRT,12/30/2022,04:00:00,REGULAR,860949,3837615
R247,R178,01-03-00,6,IRT,12/30/2022,08:00:00,REGULAR,860952,3837784
R247,R178,01-03-00,6,IRT,12/30/2022,12:00:00,REGULAR,860971,3838235
R247,R178,01-03-00,6,IRT,12/30/2022,16:00:00,REGULAR,861046,3838586
R247,R178,01-03-00,6,IRT,12/30/2022,20:00:00,REGULAR,861130,3838862
R247,R178,01-03-01,6,IRT,12/30/2022,00:00:00,REGULAR,54244,335290
R247,R178,01-03-01,6,IRT,12/30/2022,04:00:00,REGULAR,54248,335316
R247,R178,01-03-01,6,IRT,12/30/2022,08:00:00,REGULAR,54259,335491
R247,R178,01-03-01,6,IRT,12/30/2022,12:00:00,REGULAR,54289,336029
R247,R178,01-03-01,6,IRT,12/30/2022,16:00:00,REGULAR,54375,336468
R247,R178,01-03-01,6,IRT,12/30/2022,20:00:00,REGULAR,54451,336836
R247,R178,01-03-02,6,IRT,12/30/2022,00:00:00,REGULAR,57005,645683
R247,R178,01-03-02,6,IRT,12/30/2022,04:00:00,REGULAR,57010,645737
R247,R178,01-03-02,6,IRT,12/30/2022,08:00:00,REGULAR,57016,646075
R247,R178,01-03-02,6,IRT,12/30/2022,12:00:00,REGULAR,57054,647072
R247,R178,01-03-02,6,IRT,12/30/2022,16:00:00,REGULAR,57153,648004
R247,R178,01-03-02,6,IRT,12/30/2022,20:00:00,REGULAR,57259,648713
R248,R178,00-00-00,6,IRT,12/30/2022,00:00:00,REGULAR,4644641,2498664
R248,R178,00-00-00,6,IRT,12/30/2022,04:00:00,REGULAR,4644651,2498674
R248,R178,00-00-00,6,IRT,12/30/2022,08:00:00,REGULAR,4644680,2498820
R248,R178,00-00-00,6,IRT,12/30/2022,12:00:00,REGULAR,4644797,2499093
R248,R178,00-00-00,6,IRT,12/30/2022,16:00:00,REGULAR,4645205,2499302
R248,R178,00-00-00,6,IRT,12/30/2022,20:00:00,REGULAR,4645620,2499405
R248,R178,00-00-01,6,IRT,12/30/2022,00:00:00,REGULAR,19206636,3736987
R248,R178,00-00-01,6,IRT,12/30/2022,04:00:00,REGULAR,19206651,3736993
R248,R178,00-00-01,6,IRT,12/30/2022,08:00:00,REGULAR,19206678,3737100
R248,R178,00-00-01,6,IRT,12/30/2022,12:00:00,REGULAR,19206808,3737279
R248,R178,00-00-01,6,IRT,12/30/2022,16:00:00,REGULAR,19207182,3737384
R248,R178,00-00-01,6,IRT,12/30/2022,20:00:00,REGULAR,19207580,3737456
R248,R178,00-00-02,6,IRT,12/30/2022,00:00:00,REGULAR,672278,276505
R248,R178,00-00-02,6,IRT,12/30/2022,04:00:00,REGULAR,672284,276508
R248,R178,00-00-02,6,IRT,12/30/2022,08:00:00,REGULAR,672309,276606
R248,R178,00-00-02,6,IRT,12/30/2022,12:00:00,REGULAR,672444,276746
R248,R178,00-00-02,6,IRT,12/30/2022,16:00:00,REGULAR,672766,276836
R248,R178,00-00-02,6,IRT,12/30/2022,20:00:00,REGULAR,673133,276891
R248,R178,00-00-03,6,IRT,12/30/2022,00:00:00,REGULAR,18165627,2732400
R248,R178,00-00-03,6,IRT,12/30/2022,04:00:00,REGULAR,18165631,2732402
R248,R178,00-00-03,6,IRT,12/30/2022,08:00:00,REGULAR,18165649,2732476
R248,R178,00-00-03,6,IRT,12/30/2022,12:00:00,REGULAR,18165747,2732605
R248,R178,00-00-03,6,IRT,12/30/2022,16:00:00,REGULAR,18166043,2732662
R248,R178,00-00-03,6,IRT,12/30/2022,20:00:00,REGULAR,18166369,2732702
R248,R178,00-00-04,6,IRT,12/30/2022,00:00:00,REGULAR,18313721,4821908
R248,R178,00-00-04,6,IRT,12/30/2022,04:00:00,REGULAR,18313721,4821910
R248,R178,00-00-04,6,IRT,12/30/2022,08:00:00,REGULAR,18313728,4821955
R248,R178,00-00-04,6,IRT,12/30/2022,12:00:00,REGULAR,18313782,4822019
R248,R178,00-00-04,6,IRT,12/30/2022,16:00:00,REGULAR,18313978,4822070
R248,R178,00-00-04,6,IRT,12/30/2022,20:00:00,REGULAR,18314197,4822109
R248,R178,00-00-05,6,IRT,12/30/2022,00:00:00,REGULAR,15836443,6456027
R248,R178,00-00-05,6,IRT,12/30/2022,04:00:00,REGULAR,15836445,6456032
R248,R178,00-00-05,6,IRT,12/30/2022,08:00:00,REGULAR,15836458,6456148
R248,R178,00-00-05,6,IRT,12/30/2022,12:00:00,REGULAR,15836516,6456407
R248,R178,00-00-05,6,IRT,12/30/2022,16:00:00,REGULAR,15836726,6456606
R248,R178,00-00-05,6,IRT,12/30/2022,20:00:00,REGULAR,15836956,6456743
R248,R178,00-00-06,6,IRT,12/30/2022,00:00:00,REGULAR,23068801,6197316
R248,R178,00-00-06,6,IRT,12/30/2022,04:00:00,REGULAR,23068807,6197321
R248,R178,00-00-06,6,IRT,12/30/2022,08:00:00,REGULAR,23068833,6197449
R248,R178,00-00-06,6,IRT,12/30/2022,12:00:00,REGULAR,23068945,6197707
R248,R178,00-00-06,6,IRT,12/30/2022,16:00:00,REGULAR,23069247,6197895
R248,R178,00-00-06,6,IRT,12/30/2022,20:00:00,REGULAR,23069569,6197993
R248,R178,00-00-07,6,IRT,12/30/2022,00:00:00,REGULAR,13116829,2320186
R248,R178,00-00-07,6,IRT,12/30/2022,04:00:00,REGULAR,13116832,2320194
R248,R178,00-00-07,6,IRT,12/30/2022,08:00:00,REGULAR,13116864,2320347
R248,R178,00-00-07,6,IRT,12/30/2022,12:00:00,REGULAR,13117017,2320550
R248,R178,00-00-07,6,IRT,12/30/2022,16:00:00,REGULAR,13117408,2320630
R248,R178,00-00-07,6,IRT,12/30/2022,20:00:00,REGULAR,13117802,2320690
C024,R214,00-00-00,R,BMT,12/29/2022,03:00:00,REGULAR,9624044,2194401
C024,R214,00-00-00,R,BMT,12/29/2022,07:00:00,REGULAR,9624134,2194411
C024,R214,00-00-00,R,BMT,12/29/2022,11:00:00,REGULAR,9624440,2194450
C024,R214,00-00-00,R,BMT,12/29/2022,15:00:00,REGULAR,9624625,2194491
C024,R214,00-00-00,R,BMT,12/29/2022,19:00:00,REGULAR,9624821,2194578
C024,R214,00-00-00,R,BMT,12/29/2022,23:00:00,REGULAR,9624869,2194636
C024,R214,00-00-01,R,BMT,12/29/2022,03:00:00,REGULAR,7478832,2950912
C024,R214,00-00-01,R,BMT,12/29/2022,07:00:00,REGULAR,7478877,2950915
C024,R214,00-00-01,R,BMT,12/29/2022,11:00:00,REGULAR,7479021,2950949
C024,R214,00-00-01,R,BMT,12/29/2022,15:00:00,REGULAR,7479110,2950980
C024,R214,00-00-01,R,BMT,12/29/2022,19:00:00,REGULAR,7479191,2951064
C024,R214,00-00-01,R,BMT,12/29/2022,23:00:00,REGULAR,7479240,2951117
C024,R214,00-00-02,R,BMT,12/29/2022,03:00:00,REGULAR,6459616,4371533
C024,R214,00-00-02,R,BMT,12/29/2022,07:00:00,REGULAR,6459657,4371538
